baseline_id,baseline_label,case_index,clock_std_ns,condition_number,cost,crlb_status,figure_id,fim_nullity,fim_rank,is_full_rank,measurement_count,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
coarse_jcls,Coarse JCLS,0,1000.0,7.503077053106768e+16,9.707518247628956e-20,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,42,4,1,7,424.8228417097143,424.8228417097143,424.8228417097143,0.03,1,True,6.371153791747672e-07,6,20316138,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4836189533704416e+17,10.384509319563938,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,1,6,False,20,19,4,1,7,868.758863713718,868.758863713718,868.758863713718,0.03,1,True,1.0353216303000442e-06,6,20316138,4
without_cooperation,Without cooperation,0,1000.0,7.503077053106768e+16,,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,,4,1,7,882.7238990265371,882.7238990265371,882.7238990265371,0.03,1,True,1.172589197344468e-06,7,20324057,4
coarse_jcls,Coarse JCLS,0,1000.0,7.503077053106768e+16,4.8183967683649244e-20,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,4,False,4,51,4,1,7,393.85780693451466,393.85780693451466,393.85780693451466,0.03,1,True,6.835596602160327e-07,7,20324057,4
refined_jcls,"Refined JCLS, 0.5 s",0,1000.0,1.4836189533704416e+17,5.144763899363862,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,1,6,False,20,19,4,1,7,835.2444783520319,835.2444783520319,835.2444783520319,0.03,1,True,1.0153270299043823e-06,7,20324057,4
without_cooperation,Without cooperation,1,1000.0,8.885088410229462e+17,,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,6,False,6,,6,1,9,819.7467885056518,819.7467885056518,819.7467885056518,0.03,1,True,9.65286473072365e-07,0,20269633,6
coarse_jcls,Coarse JCLS,1,1000.0,8.885088410229462e+17,3.1632971694515815e-22,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,6,False,6,51,6,1,9,268.6303205115481,268.6303205115481,268.6303205115481,0.03,1,True,3.614076186005512e-07,0,20269633,6
refined_jcls,"Refined JCLS, 0.5 s",1,1000.0,1.0889537307511502e+17,8.384518560070443,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,1,8,False,30,20,6,1,9,1412.7377684851108,1412.7377684851108,1412.7377684851108,0.03,1,True,1.299281948795463e-06,0,20269633,6
without_cooperation,Without cooperation,1,1000.0,8.885088410229462e+17,,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,6,False,6,,6,1,9,876.7125935460705,876.7125935460705,876.7125935460705,0.03,1,True,9.65286473072365e-07,1,20277552,6
coarse_jcls,Coarse JCLS,1,1000.0,8.885088410229462e+17,5.881031675440464e-21,rank_deficient_diagnostic,fig5_synchronization_vs_satellites,3,6,False,6,51,6,1,9,298.152556900552,298.152556900552,298.152556900552,0.03,1,True,3.335390213709528e-07,1,20277552,6
