all_full_jcls_scenario_full_rank,baseline_id,baseline_label,clock_std_ns,failure_rate,figure_id,max_full_jcls_scenario_condition_number,max_full_jcls_scenario_fim_nullity,mean,median,metric_field,min_full_jcls_scenario_fim_rank,num_satellites,num_users,rank_metadata_scope,rmse,series_value,standard_error,std,success_rate,trial_count,x_value
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.33333333333333337,fig5_synchronization_vs_satellites_candidate,5480802113919.941,0,1.5190146206760647e-05,2.456486938870504e-06,sync_error_mean_s,23,4,5,full_jcls_scenario_not_baseline_observability,2.4174443752913595e-05,5,1.3297804122862132e-05,2.30324723698961e-05,0.6666666666666666,3,4
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,1.0,fig5_synchronization_vs_satellites_candidate,5238794451146.469,0,2.391279656108493e-06,2.0936400947021917e-06,sync_error_mean_s,31,4,7,full_jcls_scenario_not_baseline_observability,2.5944713429294627e-06,7,7.117103187266078e-07,1.232718432305524e-06,0.0,3,4
False,refined_jcls,"Refined JCLS, 0.5 s",1000.0,1.0,fig5_synchronization_vs_satellites_candidate,6.887428047532122e+17,3,7.168376400567586e-07,7.168376400567586e-07,sync_error_mean_s,8,8,1,full_jcls_scenario_not_baseline_observability,7.168376400567586e-07,1,0.0,0.0,0.0,3,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,0.0,fig5_synchronization_vs_satellites_candidate,930932150644.7319,0,3.1248332529930306e-06,3.0338742945538257e-06,sync_error_mean_s,19,8,3,full_jcls_scenario_not_baseline_observability,3.1980409370170345e-06,3,4.810836599936574e-07,8.332613418002053e-07,1.0,3,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,1.0,fig5_synchronization_vs_satellites_candidate,50632811097.1864,0,1.4271834176279038e-06,1.3179642770831367e-06,sync_error_mean_s,27,8,5,full_jcls_scenario_not_baseline_observability,1.5305561006927406e-06,5,3.9099198829113083e-07,6.772179890726141e-07,0.0,3,8
True,refined_jcls,"Refined JCLS, 0.5 s",1000.0,1.0,fig5_synchronization_vs_satellites_candidate,10040108888629.232,0,8.487799298534171e-06,8.19296872589129e-06,sync_error_mean_s,35,8,7,full_jcls_scenario_not_baseline_observability,8.723046274866655e-06,7,1.4228140042303232e-06,2.464386145047439e-06,0.0,3,8
False,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,1.2837678760196304e+17,3,8.542909621177202e-07,8.542909621177202e-07,sync_error_mean_s,4,4,1,full_jcls_scenario_not_baseline_observability,8.542909621177202e-07,1,0.0,0.0,1.0,3,4
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,306192253877.6591,0,6.659436069615441e-07,6.659436069615441e-07,sync_error_mean_s,15,4,3,full_jcls_scenario_not_baseline_observability,6.659436069615441e-07,3,0.0,0.0,1.0,3,4
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,5480180077436.231,0,6.482424986257603e-07,6.482424986257604e-07,sync_error_mean_s,23,4,5,full_jcls_scenario_not_baseline_observability,6.482424986257605e-07,5,7.486784261149287e-23,1.2967490725617583e-22,1.0,3,4
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,5238079403172.587,0,7.076777332137353e-07,7.076777332137353e-07,sync_error_mean_s,31,4,7,full_jcls_scenario_not_baseline_observability,7.076777332137353e-07,7,0.0,0.0,1.0,3,4
False,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,1.3373127080321e+17,3,7.168376400567586e-07,7.168376400567586e-07,sync_error_mean_s,8,8,1,full_jcls_scenario_not_baseline_observability,7.168376400567586e-07,1,0.0,0.0,1.0,3,8
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,930898379367.7429,0,6.242872308752914e-07,6.242872308752914e-07,sync_error_mean_s,19,8,3,full_jcls_scenario_not_baseline_observability,6.242872308752914e-07,3,0.0,0.0,1.0,3,8
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,50632882203.729195,0,5.905934177853282e-07,5.905934177853282e-07,sync_error_mean_s,27,8,5,full_jcls_scenario_not_baseline_observability,5.905934177853282e-07,5,0.0,0.0,1.0,3,8
True,without_cooperation,Without cooperation,1000.0,0.0,fig5_synchronization_vs_satellites_candidate,10039034011098.377,0,9.292233481451387e-07,9.292233481451387e-07,sync_error_mean_s,35,8,7,full_jcls_scenario_not_baseline_observability,9.292233481451387e-07,7,0.0,0.0,1.0,3,8
