product,num_users,num_satellites,trial_count,failure_count,single_ue_baseline_only,jcls_applicable,fim_rank_mean,state_dimension,rank_deficiency_mean,condition_number_mean,log10_condition_number_mean,crlb_position_m_mean,crlb_clock_ns_mean,stage_a_position_rmse_m_mean,stage_b_position_rmse_m_mean,stage_c_position_rmse_m_mean,stage_b_sync_error_ns_mean,stage_c_sync_error_ns_mean,stage_b_convergence_probability,stage_c_convergence_probability,failure_reasons
observability,1,1,5,0,True,False,1.0,4,3.0,1.4410511021187664e+17,17.082322788271174,,,71542.24600538616,,,,,0.0,0.0,single_ue_baseline_only
observability,1,2,5,0,True,False,2.0,5,3.0,2.7011759489592506e+17,17.319153751009786,,,55604.19200928856,,,,,0.0,0.0,single_ue_baseline_only
observability,1,3,5,0,True,False,3.0,6,3.0,5.0939226137010246e+17,17.63445637132123,,,24247.0771343961,,,,,0.0,0.0,single_ue_baseline_only
observability,1,4,5,0,True,False,4.0,7,3.0,3.5415022732448685e+17,17.35508113692142,,,19383.892291289936,,,,,0.0,0.0,single_ue_baseline_only
observability,1,5,5,0,True,False,5.0,8,3.0,2.3982219232083363e+17,17.157116888882506,,,8312.935184318467,,,,,0.0,0.0,single_ue_baseline_only
observability,1,6,5,0,True,False,6.0,9,3.0,1.0206670801238742e+17,16.954007139123615,,,8042.382117294512,,,,,0.0,0.0,single_ue_baseline_only
observability,1,7,5,0,True,False,7.0,10,3.0,2.1502317545069904e+17,17.15800910556153,,,8417.490164095876,,,,,0.0,0.0,single_ue_baseline_only
observability,1,8,5,0,True,False,8.0,11,3.0,3.247022266992362e+17,17.40145784259183,,,8019.372191014268,,,,,0.0,0.0,single_ue_baseline_only
observability,2,1,5,0,False,True,4.0,8,4.0,6.230971230398985e+18,18.392271492170416,,,77773.89095154879,77729.26884822726,77729.26884822731,14021.301576345175,14021.301576345175,0.0,1.0,
observability,2,2,5,0,False,True,6.0,9,3.0,2.4763673972914038e+17,17.299103564014523,,,34375.985612847064,34276.42236102238,34276.42236102236,4188.998681168814,4188.998681168798,0.0,1.0,
observability,2,3,5,0,False,True,7.8,10,2.2,2.5995170668914903e+18,17.553775348393195,,,20549.52429059142,46862.189339338576,46862.22827845118,56080.00131452371,56079.98981306206,0.0,1.0,
observability,2,4,5,0,False,True,10.0,11,1.0,1.6245372118163898e+17,16.97747724874612,,,21947.035724162408,48562.050504975734,48563.93154194672,51670.072842591886,51669.55307203865,0.0,1.0,
observability,2,5,5,0,False,True,12.0,12,0.0,54084226897167.96,12.717269727100192,9333.584129100558,6622.66571182761,8117.432420319377,65284.73114106462,65279.033963035115,64694.456202678804,64691.55750873863,0.0,1.0,
observability,2,6,5,0,False,True,13.0,13,0.0,12268011951451.348,11.959523005483847,15957.224629311759,9634.04705246055,7931.268969005122,50640.93622463818,50640.876118245185,20515.436767575145,20515.406962610807,0.2,1.0,
observability,2,7,5,0,False,True,14.0,14,0.0,247291085505.79718,11.072144453286489,10969.67406659489,6722.195615169598,8208.54290045506,13132.263584736767,13129.002585233224,10448.956365964308,10446.67873630844,0.4,1.0,
observability,2,8,5,0,False,True,15.0,15,0.0,55309346618.53347,10.481217266820938,5839.334692998373,3893.345467682465,6746.429801013417,20007.630797936024,20004.14437311212,11802.487604905318,11800.604559445199,0.0,1.0,
observability,3,1,5,0,False,True,8.0,12,4.0,1.5372592663312858e+18,17.716827929263776,,,74673.85884358177,74635.65702947193,74635.65702947191,11619.333730320874,11619.333730320872,0.0,1.0,
observability,3,2,5,0,False,True,10.6,13,2.4,1.0700578017974224e+17,16.996107501941367,,,56660.24382302501,65696.32154247737,65702.49435671637,58696.59552316952,58696.73070145408,0.0,1.0,
observability,3,3,5,0,False,True,13.6,14,0.4,5365351258071954.0,13.805003008313241,12635.994058408656,5764.963379543289,26069.754885753286,96392.33553762204,96375.56386204025,162618.9834641183,162617.05135085413,0.0,1.0,
observability,3,4,5,0,False,True,14.6,15,0.4,938867104736114.8,13.799236060430754,6032.17699701834,5186.641886561344,16096.846999482868,33562.46183497716,33563.15126741616,32325.374914739798,32324.824171657317,0.0,1.0,
