product,trial_count,num_users,num_satellites,stage_a_position_rmse_m_mean,stage_b_position_rmse_m_mean,stage_c_position_rmse_m_mean,stage_b_sync_error_ns_mean,stage_c_sync_error_ns_mean,stage_b_convergence_probability,stage_c_convergence_probability,fim_rank_mean,condition_number_mean,log10_condition_number_mean,graph_average_degree_mean,graph_connected_probability,elapsed_time_s
time_to_accuracy,1,3,8,12278.18000374137,61087.21393036313,61087.21393036319,31424.07760171718,31424.07760171723,0.0,1.0,19.0,139626516899.15445,11.144967904314203,2.0,1.0,0.0
time_to_accuracy,1,3,8,10751.685807500198,17939.868831489264,17934.99275193931,17191.444824779534,17188.42944328639,0.0,1.0,19.0,16310928200.543203,10.21247867599453,2.0,1.0,0.1
time_to_accuracy,1,3,8,3113.7576789015707,7613.243071882995,7613.209944793334,4854.623924774342,4854.345023511814,0.0,1.0,19.0,259871367308.65964,11.414758431463795,2.0,1.0,0.2
time_to_accuracy,1,3,8,7047.673425285382,27318.022752101188,27309.439839997707,15881.69317532746,15877.3430268141,0.0,1.0,19.0,7934214632.75812,9.899503944633429,2.0,1.0,0.5
time_to_accuracy,1,3,8,5356.858074670744,14278.445838005973,14277.115293103338,9138.453454719838,9137.144715950677,0.0,1.0,19.0,69616285647.4746,10.84271084793651,2.0,1.0,1.0
