baseline_id,baseline_label,case_index,clock_std_ns,condition_number,cost,crlb_status,figure_id,fim_nullity,fim_rank,is_full_rank,measurement_count,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,15.082042644971773,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,50,10,3,21,7638.85799216804,7648.5956027104285,7638.883714440344,0.03,clock_sweep,True,7.956904281970816e-06,6,20316140,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,85.83302780751576,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,30,10,3,21,3599.8008055040023,3606.9784361499046,3599.819682521586,0.03,clock_sweep,True,5.353097459758898e-06,6,20316140,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,51.69523794776177,32.9786853500358,60.178275300793786,0.03,clock_sweep,True,9.366997638721053e-10,7,20324059,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,5.540741292940524,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,34,10,3,21,1926.1958273036544,1921.4080243121007,1926.2175291501994,0.03,clock_sweep,True,1.4099133691018722e-06,7,20324059,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,76.78624482210301,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,44,10,3,21,3252.801129469668,3257.9769920104823,3252.8173585529803,0.03,clock_sweep,True,2.9747163374303427e-06,7,20324059,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,62.33600179474928,67.67567000521572,63.88881510532676,0.03,clock_sweep,True,9.366997638721053e-10,8,20331978,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,6.328648603221858,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,179,10,3,21,12088.050558384193,12081.267715142587,12088.117458339082,0.03,clock_sweep,True,1.7471274965836337e-05,8,20331978,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,69.20580160065292,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,39,10,3,21,8234.87023811224,8245.796511323782,8234.88663952373,0.03,clock_sweep,True,1.375897111063377e-05,8,20331978,1.0
without_cooperation,Without cooperation,0,1.0,14394746.00945501,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,61.08554557432057,48.88674352357011,66.662151631031,0.03,clock_sweep,True,9.366997638721053e-10,9,20339897,1.0
coarse_jcls,Coarse JCLS,0,1.0,14394746.00945501,12.72076020948579,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,24,10,3,21,3494.063929997843,3488.467282089133,3494.2070633065455,0.03,clock_sweep,True,3.0900174882063867e-06,9,20339897,1.0
refined_jcls,"Refined JCLS, 0.5 s",0,1.0,14394746.019496359,77.64904511032302,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,55,10,3,21,6491.797075940575,6484.9265034665805,6491.806228029551,0.03,clock_sweep,True,1.0501697210321028e-05,9,20339897,1.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,44.46274894208204,33.837315037816644,53.154139336718245,0.03,clock_sweep,True,6.5542398212988435e-09,0,20269635,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,6.383629446676257,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,200,10,3,21,15105.884423004949,15114.39059514794,15105.91831358173,0.03,clock_sweep,False,1.9544858487312788e-05,0,20269635,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,88.91414448145608,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,127,10,3,21,4447.599317558791,4454.88531887175,4447.614155218377,0.03,clock_sweep,True,3.2053362285886847e-06,0,20269635,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,36.34789006801279,38.11983825296699,37.124729389484905,0.03,clock_sweep,True,6.5542398212988435e-09,1,20277554,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,7.424088265618468,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,114,10,3,21,9786.432454774718,9782.059394547363,9786.467966834034,0.03,clock_sweep,True,1.1936007962489738e-05,1,20277554,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,87.32776021644939,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,77,10,3,21,2403.068850834449,2408.0098168404256,2403.118452828458,0.03,clock_sweep,True,3.3174528325289166e-06,1,20277554,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,33.62877468165771,31.107444362858715,33.922522575189,0.03,clock_sweep,True,6.5542398212988435e-09,2,20285473,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,4.34342499394105,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,73,10,3,21,13033.16545401873,13028.305028038567,13033.17239060416,0.03,clock_sweep,True,1.3672093638275584e-05,2,20285473,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,61.87381366699256,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,59,10,3,21,2206.501533021516,2210.446372608022,2206.513544410243,0.03,clock_sweep,True,3.082222678228158e-06,2,20285473,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,33.52193555870988,27.778133186578412,38.60106305038878,0.03,clock_sweep,True,6.5542398212988435e-09,3,20293392,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,7.5311351894587695,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,77,10,3,21,12223.400121543127,12243.210480640291,12223.449259930858,0.03,clock_sweep,True,1.73863750311763e-05,3,20293392,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,85.02930822638413,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,75,10,3,21,6304.836600633956,6302.561334117839,6304.842929509713,0.03,clock_sweep,True,9.664623127814993e-06,3,20293392,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,28.938474203796662,28.814554828440976,29.149646296926164,0.03,clock_sweep,True,6.5542398212988435e-09,4,20301311,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,7.6183915436276495,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,28,10,3,21,2825.7065914766604,2813.2242968072705,2825.7650380901277,0.03,clock_sweep,True,3.2011125744354573e-06,4,20301311,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,81.34895910415831,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,89,10,3,21,9636.106609163828,9631.868756388822,9636.111990375288,0.03,clock_sweep,True,1.3297261921348723e-05,4,20301311,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,49.293280625046265,45.56550006794394,49.66902478834592,0.03,clock_sweep,True,6.5542398212988435e-09,5,20309230,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,8.837675433468894,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,46,10,3,21,4230.81748508677,4231.386137951054,4230.817777442835,0.03,clock_sweep,True,5.107149123072033e-06,5,20309230,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,78.7789092971233,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,34,10,3,21,3007.504940087601,3000.13865955029,3007.524170017555,0.03,clock_sweep,True,2.963188172450867e-06,5,20309230,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,50.245956230303456,39.66234658406858,55.98656985644285,0.03,clock_sweep,True,6.5542398212988435e-09,6,20317149,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,6.728889622098178,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,64,10,3,21,6718.122443036388,6707.815492577122,6718.156359605012,0.03,clock_sweep,True,7.455302171086812e-06,6,20317149,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,87.74522112402998,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,58,10,3,21,4819.307484904674,4817.101956763424,4819.312279064906,0.03,clock_sweep,True,6.226205784463097e-06,6,20317149,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,51.283369574810955,46.88694234458126,53.709223283705875,0.03,clock_sweep,True,6.5542398212988435e-09,7,20325068,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,7.903273818169378,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,84,10,3,21,6098.027695324657,6097.620698095859,6098.290394183884,0.03,clock_sweep,True,8.981376671488358e-06,7,20325068,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,86.75264889553074,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,84,10,3,21,5472.358276346814,5470.822852369366,5472.386055272465,0.03,clock_sweep,True,6.518658110662227e-06,7,20325068,10.0
without_cooperation,Without cooperation,1,10.0,13507539.972650662,,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,,10,3,21,47.95205289954695,54.85978598226905,50.639940672413324,0.03,clock_sweep,True,6.5542398212988435e-09,8,20332987,10.0
coarse_jcls,Coarse JCLS,1,10.0,13507539.972650662,5.481559527649351,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,36,16,10,3,21,1300.7129608889563,1297.235860580367,1300.7850694508222,0.03,clock_sweep,True,1.0496921488493527e-06,8,20332987,10.0
refined_jcls,"Refined JCLS, 0.5 s",1,10.0,13507539.977759982,80.11421332230414,finite_crlb,fig7_synchronization_vs_clock_std,0,21,True,180,34,10,3,21,1452.351181669461,1451.4772431537756,1452.3598973355063,0.03,clock_sweep,True,1.3900659678886574e-06,8,20332987,10.0
