baseline_id,baseline_label,candidate_only,family,manuscript_ready,mean,metric,non_final,series_value,success_rate,trial_count,x_value
coarse_jcls,Coarse JCLS,True,network_size,False,76.61078757070167,position_error_m,True,5,1.0,1,7
coarse_jcls,Coarse JCLS,True,network_size,False,56.159810919469074,position_error_m,True,7,1.0,1,7
coarse_jcls,Coarse JCLS,True,network_size,False,56.986494798410185,position_error_m,True,3,1.0,1,8
coarse_jcls,Coarse JCLS,True,network_size,False,92.84270359152391,position_error_m,True,5,1.0,1,8
coarse_jcls,Coarse JCLS,True,network_size,False,41.435406383878544,position_error_m,True,7,1.0,1,8
coarse_jcls,Coarse JCLS,True,network_size,False,37.55493862555668,position_error_m,True,3,1.0,1,9
coarse_jcls,Coarse JCLS,True,network_size,False,24.34792747616333,position_error_m,True,5,1.0,1,9
coarse_jcls,Coarse JCLS,True,network_size,False,72.98132284388251,position_error_m,True,7,1.0,1,9
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,77.48539803995874,position_error_m,True,3,1.0,1,10
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,43.88564474757824,position_error_m,True,5,1.0,1,10
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,47.839877763826316,position_error_m,True,7,1.0,1,10
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,27.82540023794699,position_error_m,True,3,1.0,1,11
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,55.96633442891014,position_error_m,True,5,1.0,1,11
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,37.15327331450207,position_error_m,True,7,1.0,1,11
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,75.18770144285774,position_error_m,True,3,1.0,1,12
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,50.250950342292796,position_error_m,True,5,1.0,1,12
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,29.712291902799443,position_error_m,True,7,1.0,1,12
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,79.88301579513364,position_error_m,True,3,1.0,1,13
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,37.83788465452879,position_error_m,True,5,1.0,1,13
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,24.271141465776996,position_error_m,True,7,1.0,1,13
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,22.115957161918285,position_error_m,True,3,1.0,1,14
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,50.28578346960027,position_error_m,True,5,1.0,1,14
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,10.110942288243123,position_error_m,True,7,1.0,1,14
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,41.49207957198101,position_error_m,True,3,1.0,1,15
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,21.437976044730554,position_error_m,True,5,1.0,1,15
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,22.339860565922447,position_error_m,True,7,1.0,1,15
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,325.97015155849687,position_error_m,True,3,1.0,1,3
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,94.43341001927851,position_error_m,True,5,1.0,1,3
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,69.2927157197765,position_error_m,True,7,1.0,1,3
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,180.20289571016,position_error_m,True,3,1.0,1,4
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,139.38758531901829,position_error_m,True,5,1.0,1,4
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,82.03796106825403,position_error_m,True,7,1.0,1,4
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,91.2602389885072,position_error_m,True,3,1.0,1,5
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,103.32588737812337,position_error_m,True,5,1.0,1,5
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,8.590012521968069,position_error_m,True,7,1.0,1,5
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,46.78005169817087,position_error_m,True,3,1.0,1,6
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,84.44721936910244,position_error_m,True,5,1.0,1,6
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,49.08594451961981,position_error_m,True,7,1.0,1,6
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,15.412950953762852,position_error_m,True,3,1.0,1,7
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,70.04633246048135,position_error_m,True,5,1.0,1,7
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,47.53084707245931,position_error_m,True,7,1.0,1,7
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,43.59905865049179,position_error_m,True,3,1.0,1,8
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,90.30487120866616,position_error_m,True,5,1.0,1,8
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,36.17296165197408,position_error_m,True,7,1.0,1,8
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,30.229404717887462,position_error_m,True,3,1.0,1,9
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,23.609893070681956,position_error_m,True,5,1.0,1,9
refined_jcls,"Refined JCLS, 0.5 s",True,network_size,False,66.72571479617548,position_error_m,True,7,1.0,1,9
without_cooperation,Without cooperation,True,network_size,False,720.505493966283,position_error_m,True,1,1.0,1,10
without_cooperation,Without cooperation,True,network_size,False,151.35199081336128,position_error_m,True,1,1.0,1,11
without_cooperation,Without cooperation,True,network_size,False,566.1291356442636,position_error_m,True,1,1.0,1,12
without_cooperation,Without cooperation,True,network_size,False,311.66216630887493,position_error_m,True,1,1.0,1,13
without_cooperation,Without cooperation,True,network_size,False,842.1367826681625,position_error_m,True,1,1.0,1,14
without_cooperation,Without cooperation,True,network_size,False,773.4565851264099,position_error_m,True,1,1.0,1,15
without_cooperation,Without cooperation,True,network_size,False,823.5949743358883,position_error_m,True,1,1.0,1,3
without_cooperation,Without cooperation,True,network_size,False,1473.9949802403803,position_error_m,True,1,1.0,1,4
without_cooperation,Without cooperation,True,network_size,False,573.7139623609296,position_error_m,True,1,1.0,1,5
without_cooperation,Without cooperation,True,network_size,False,693.8625950790548,position_error_m,True,1,1.0,1,6
without_cooperation,Without cooperation,True,network_size,False,453.5996801144015,position_error_m,True,1,1.0,1,7
without_cooperation,Without cooperation,True,network_size,False,325.7470488995654,position_error_m,True,1,1.0,1,8
without_cooperation,Without cooperation,True,network_size,False,1112.230180278354,position_error_m,True,1,1.0,1,9
coarse_jcls,Coarse JCLS,True,network_size,False,82.72267228060845,sync_error_ns,True,3,1.0,1,10
coarse_jcls,Coarse JCLS,True,network_size,False,69.59118809046309,sync_error_ns,True,5,1.0,1,10
coarse_jcls,Coarse JCLS,True,network_size,False,47.634115247964196,sync_error_ns,True,7,1.0,1,10
coarse_jcls,Coarse JCLS,True,network_size,False,39.149592243515045,sync_error_ns,True,3,0.0,1,11
coarse_jcls,Coarse JCLS,True,network_size,False,66.43924796742199,sync_error_ns,True,5,1.0,1,11
coarse_jcls,Coarse JCLS,True,network_size,False,60.13387057384361,sync_error_ns,True,7,1.0,1,11
coarse_jcls,Coarse JCLS,True,network_size,False,113.08929355056108,sync_error_ns,True,3,1.0,1,12
coarse_jcls,Coarse JCLS,True,network_size,False,89.3557238716347,sync_error_ns,True,5,1.0,1,12
coarse_jcls,Coarse JCLS,True,network_size,False,19.750266032668968,sync_error_ns,True,7,1.0,1,12
coarse_jcls,Coarse JCLS,True,network_size,False,124.9235031987866,sync_error_ns,True,3,1.0,1,13
coarse_jcls,Coarse JCLS,True,network_size,False,46.79259842733508,sync_error_ns,True,5,1.0,1,13
coarse_jcls,Coarse JCLS,True,network_size,False,25.413749514568728,sync_error_ns,True,7,0.0,1,13
coarse_jcls,Coarse JCLS,True,network_size,False,30.46024785952138,sync_error_ns,True,3,0.0,1,14
coarse_jcls,Coarse JCLS,True,network_size,False,82.74536605777976,sync_error_ns,True,5,1.0,1,14
coarse_jcls,Coarse JCLS,True,network_size,False,5.6276118300390126,sync_error_ns,True,7,1.0,1,14
coarse_jcls,Coarse JCLS,True,network_size,False,58.61264244153287,sync_error_ns,True,3,1.0,1,15
coarse_jcls,Coarse JCLS,True,network_size,False,19.33352963412694,sync_error_ns,True,5,1.0,1,15
coarse_jcls,Coarse JCLS,True,network_size,False,35.80193035736469,sync_error_ns,True,7,1.0,1,15
coarse_jcls,Coarse JCLS,True,network_size,False,640.0509783401469,sync_error_ns,True,3,0.0,1,3
coarse_jcls,Coarse JCLS,True,network_size,False,32.44276619328487,sync_error_ns,True,5,1.0,1,3
coarse_jcls,Coarse JCLS,True,network_size,False,22.86498739399907,sync_error_ns,True,7,0.0,1,3
