case_name,num_users,num_satellites,gate_name,accepted,chosen_alpha,nis,nis_upper_bound,jacobian_rank,observable_update_norm,nullspace_update_norm,nullspace_ratio,update_norm,position_update_norm,clock_update_norm,clock_position_update_ratio,current_total_objective,final_total_objective,current_residual_cost,final_residual_cost,current_prior_cost,final_prior_cost,il_position_error_m,lm_position_error_m,position_error_after_m,il_sync_error_s,lm_sync_error_s,sync_error_after_s,position_error_ratio,sync_error_ratio,position_improved,sync_improved,both_improved,baseline_cache_used,rejection_reasons
Nu3_Ns8,3,8,line_search,True,1.0,5.670547790708106,90.0,19,0.00013488147692965473,1.0546574196989621e-13,7.819141988258349e-10,0.0001348814769296546,0.00010825772136172474,8.0456687629383e-05,0.7431958350624311,58.55476535768001,8.642318114836039,58.55476535768001,8.642317467390983,0.0,6.474450557712032e-07,0.1456815517175929,0.12311443474554039,0.14960628018096164,3.653973138657846e-10,1.540065000506638e-10,1.8022649350460035e-10,1.2151806609044344,1.1702525117141869,False,False,False,False,[]
Nu3_Ns8,3,8,nis_line_search,True,1.0,5.670547790708106,90.0,19,0.00013488147692965473,1.0546574196989621e-13,7.819141988258349e-10,0.0001348814769296546,0.00010825772136172474,8.0456687629383e-05,0.7431958350624311,58.55476535768001,8.642318114836039,58.55476535768001,8.642317467390983,0.0,6.474450557712032e-07,0.1456815517175929,0.12311443474554039,0.14960628018096164,3.653973138657846e-10,1.540065000506638e-10,1.8022649350460035e-10,1.2151806609044344,1.1702525117141869,False,False,False,False,[]
Nu3_Ns8,3,8,nullspace_line_search,True,1.0,5.670547790708106,90.0,19,0.00013488147692965473,1.0546574196989621e-13,7.819141988258349e-10,0.0001348814769296546,0.00010825772136172474,8.0456687629383e-05,0.7431958350624311,58.55476535768001,8.642318114836039,58.55476535768001,8.642317467390983,0.0,6.474450557712032e-07,0.1456815517175929,0.12311443474554039,0.14960628018096164,3.653973138657846e-10,1.540065000506638e-10,1.8022649350460035e-10,1.2151806609044344,1.1702525117141869,False,False,False,False,[]
Nu3_Ns8,3,8,clock_position_line_search,True,1.0,5.670547790708106,90.0,19,0.00013488147692965473,1.0546574196989621e-13,7.819141988258349e-10,0.0001348814769296546,0.00010825772136172474,8.0456687629383e-05,0.7431958350624311,58.55476535768001,8.642318114836039,58.55476535768001,8.642317467390983,0.0,6.474450557712032e-07,0.1456815517175929,0.12311443474554039,0.14960628018096164,3.653973138657846e-10,1.540065000506638e-10,1.8022649350460035e-10,1.2151806609044344,1.1702525117141869,False,False,False,False,[]
Nu3_Ns8,3,8,covariance_k10,True,1.0,1.036955076876519,90.0,19,0.0007528348024358225,3.5639138411783816e-13,4.733991879290412e-10,0.0007528348024358218,0.0006133714701708726,0.0004365039282056979,0.7116469373511893,58.55476535768001,53.47464993431673,58.55476535768001,53.474648028583715,0.0,1.9057330179509578e-06,0.1456815517175929,0.12311443474554039,0.37411590847316106,3.653973138657846e-10,1.540065000506638e-10,4.845455053031751e-10,3.038765594354587,3.146266587084138,False,False,False,False,[]
Nu3_Ns8,3,8,covariance_k100,True,0.25,2.295754147879994e-07,90.0,19,0.0008918824572260598,3.963232000270458e-18,4.4436707641912114e-15,0.0008918824572260592,0.0007522868617791812,0.00047908119886092834,0.6368331326801145,58.55476535768001,51.25210147134284,58.55476535768001,51.25210145699438,0.0,1.434846179089786e-08,0.1456815517175929,0.12311443474554039,0.22344326290587627,3.653973138657846e-10,1.540065000506638e-10,2.1195086300465353e-10,1.814923354582271,1.3762462164579266,False,False,False,False,[]
Nu3_Ns8,3,8,measurement_lambda10,True,1.0,0.8303442190819076,90.0,19,0.00021386176776761335,1.4437693308081765e-13,6.750946398128571e-10,0.0002138617677676131,0.0001714473804563938,0.0001278383801811062,0.7456420730418849,5.855476535768001,0.8274247532513518,5.855476535768001,0.827423118692265,0.0,1.6345590867765865e-06,0.1456815517175929,0.12311443474554039,0.17298842764552552,3.653973138657846e-10,1.540065000506638e-10,2.2184466016602873e-10,1.405102724169326,1.440488941006049,False,False,False,False,[]
Nu3_Ns8,3,8,covariance_k10_measurement_lambda10,True,1.0,0.5678206187691809,90.0,19,0.00013315644466890987,2.0845259857897865e-13,1.5654713453583934e-09,0.00013315644466890976,0.00010692708128765685,7.935513873825213e-05,0.7421425683992041,5.855476535768001,0.869258102231326,5.855476535768001,0.8692580392475122,0.0,6.298381384244427e-08,0.1456815517175929,0.12311443474554039,0.14774276694264235,3.653973138657846e-10,1.540065000506638e-10,1.7907602258123356e-10,1.200044229159685,1.1627822366089913,False,False,False,False,[]
Nu3_Ns8,3,8,huber_line_search,True,1.0,5.167433298554725,90.0,19,0.00012574827433071314,9.02833184984782e-14,7.17968647911912e-10,0.000125748274330713,0.00010075217492747793,7.524378874388996e-05,0.7468204909526859,45.29860392085332,8.345876691504543,45.29860392085332,8.345876125240258,0.0,5.66264284460727e-07,0.1456815517175929,0.12311443474554039,0.15004575329355097,3.653973138657846e-10,1.540065000506638e-10,1.7616902785845027e-10,1.2187502919838253,1.143906444211742,False,False,False,False,[]
Nu3_Ns8,3,8,combined_nis_null_clock,True,1.0,1.036955076876519,90.0,19,0.0007528348024358225,3.5639138411783816e-13,4.733991879290412e-10,0.0007528348024358218,0.0006133714701708726,0.0004365039282056979,0.7116469373511893,58.55476535768001,53.47464993431673,58.55476535768001,53.474648028583715,0.0,1.9057330179509578e-06,0.1456815517175929,0.12311443474554039,0.37411590847316106,3.653973138657846e-10,1.540065000506638e-10,4.845455053031751e-10,3.038765594354587,3.146266587084138,False,False,False,False,[]
Nu7_Ns8,7,8,line_search,True,1.0,33.46226083546858,294.0,35,2.0322918458766875e-05,9.031130174979807e-14,4.4438155835260784e-09,2.0322918458766886e-05,1.7303590964248156e-05,1.0658646932124048e-05,0.615978900226342,119.05954814200008,95.48854481262349,119.05954814200008,95.48854480125982,0.0,1.1363669585161347e-08,0.272824084819736,0.003683121387316592,0.007409284501819856,4.947747717094892e-10,5.437602220622302e-12,9.22530079605491e-12,2.0116862092395036,1.6965751487057337,False,False,False,False,[]
Nu7_Ns8,7,8,nis_line_search,True,1.0,33.46226083546858,294.0,35,2.0322918458766875e-05,9.031130174979807e-14,4.4438155835260784e-09,2.0322918458766886e-05,1.7303590964248156e-05,1.0658646932124048e-05,0.615978900226342,119.05954814200008,95.48854481262349,119.05954814200008,95.48854480125982,0.0,1.1363669585161347e-08,0.272824084819736,0.003683121387316592,0.007409284501819856,4.947747717094892e-10,5.437602220622302e-12,9.22530079605491e-12,2.0116862092395036,1.6965751487057337,False,False,False,False,[]
Nu7_Ns8,7,8,nullspace_line_search,True,1.0,33.46226083546858,294.0,35,2.0322918458766875e-05,9.031130174979807e-14,4.4438155835260784e-09,2.0322918458766886e-05,1.7303590964248156e-05,1.0658646932124048e-05,0.615978900226342,119.05954814200008,95.48854481262349,119.05954814200008,95.48854480125982,0.0,1.1363669585161347e-08,0.272824084819736,0.003683121387316592,0.007409284501819856,4.947747717094892e-10,5.437602220622302e-12,9.22530079605491e-12,2.0116862092395036,1.6965751487057337,False,False,False,False,[]
Nu7_Ns8,7,8,clock_position_line_search,True,1.0,33.46226083546858,294.0,35,2.0322918458766875e-05,9.031130174979807e-14,4.4438155835260784e-09,2.0322918458766886e-05,1.7303590964248156e-05,1.0658646932124048e-05,0.615978900226342,119.05954814200008,95.48854481262349,119.05954814200008,95.48854480125982,0.0,1.1363669585161347e-08,0.272824084819736,0.003683121387316592,0.007409284501819856,4.947747717094892e-10,5.437602220622302e-12,9.22530079605491e-12,2.0116862092395036,1.6965751487057337,False,False,False,False,[]
Nu7_Ns8,7,8,covariance_k10,True,0.5,33.313209905832466,294.0,35,3.6513979844740075e-05,5.299804587162239e-13,1.4514453394829511e-08,3.6513979844740075e-05,3.253139813539879e-05,1.658248652820972e-05,0.5097378987276177,119.05954814200008,104.89045293869205,119.05954814200008,104.89045293800434,0.0,6.87711721605871e-10,0.272824084819736,0.003683121387316592,0.007947077727514415,4.947747717094892e-10,5.437602220622302e-12,9.657842317018952e-12,2.1577018218518207,1.7761215192224318,False,False,False,False,[]
Nu7_Ns8,7,8,covariance_k100,False,0.0,18.12808472931081,294.0,35,0.00012030283312282062,1.6656709014087833e-12,1.3845649833601601e-08,0.00012030283312282068,0.00010578116299256137,5.7298492242976204e-05,0.5416700915550106,119.05954814200008,119.05954814200008,119.05954814200008,119.05954814200008,0.0,0.0,0.272824084819736,0.003683121387316592,0.003683121387316592,4.947747717094892e-10,5.437602220622302e-12,5.437602220622302e-12,1.0,1.0,False,False,False,False,"[""objective_not_decreased""]"
Nu7_Ns8,7,8,measurement_lambda10,True,1.0,4.524777033393511,294.0,35,1.8269369744534426e-05,1.9080393486558748e-13,1.0443925408136726e-08,1.826936974453443e-05,1.5237536200482578e-05,1.0079055580831612e-05,0.661462289455457,11.90595481420001,7.252410164725777,11.90595481420001,7.2524101545647195,0.0,1.0161057965192118e-08,0.272824084819736,0.003683121387316592,0.004279314649539642,4.947747717094892e-10,5.437602220622302e-12,5.836438806191613e-12,1.1618717385411557,1.0733478782351362,False,False,False,False,[]
Nu7_Ns8,7,8,covariance_k10_measurement_lambda10,True,1.0,3.34645670136482,294.0,35,2.032903975683546e-05,1.4845329278852855e-13,7.302523609783996e-09,2.0329039756835473e-05,1.7340802545759747e-05,1.060973253687243e-05,0.6118363039354698,11.90595481420001,9.581229302807666,11.90595481420001,9.5812293016817,0.0,1.125964948464927e-09,0.272824084819736,0.003683121387316592,0.007467038372993609,4.947747717094892e-10,5.437602220622302e-12,9.20868936119975e-12,2.0273668955651396,1.6935202296106662,False,False,False,False,[]
Nu7_Ns8,7,8,huber_line_search,True,1.0,28.206943532397883,294.0,35,1.9885729111504567e-05,3.644534207117152e-13,1.8327385366064664e-08,1.9885729111504584e-05,1.6961283954016637e-05,1.0380610238678581e-05,0.6120179502224729,99.27186965083071,84.69014421798468,99.27186965083071,84.6901442072061,0.0,1.0778583744132385e-08,0.272824084819736,0.003683121387316592,0.0073193259310887285,4.947747717094892e-10,5.437602220622302e-12,9.005858489982533e-12,1.9872616624295845,1.6562187016599872,False,False,False,False,[]
Nu7_Ns8,7,8,combined_nis_null_clock,True,0.5,33.313209905832466,294.0,35,3.6513979844740075e-05,5.299804587162239e-13,1.4514453394829511e-08,3.6513979844740075e-05,3.253139813539879e-05,1.658248652820972e-05,0.5097378987276177,119.05954814200008,104.89045293869205,119.05954814200008,104.89045293800434,0.0,6.87711721605871e-10,0.272824084819736,0.003683121387316592,0.007947077727514415,4.947747717094892e-10,5.437602220622302e-12,9.657842317018952e-12,2.1577018218518207,1.7761215192224318,False,False,False,False,[]
Nu7_Ns12,7,12,line_search,True,1.0,31.416829010493508,378.0,39,5.148475300479285e-05,2.0183310353928572e-13,3.920250011114873e-09,5.148475300479287e-05,4.238107239276185e-05,2.923225093632044e-05,0.6897477880081425,168.04529231451252,125.35545318844119,168.04529231451252,125.35545310297078,0.0,8.547041103333538e-08,0.2792334125045646,0.003832706462878729,0.014693403381116967,4.585609353678018e-10,1.4047133276473746e-11,1.824744202897896e-11,3.8336886801607073,1.2990153698861764,False,False,False,False,[]
Nu7_Ns12,7,12,nis_line_search,True,1.0,31.416829010493508,378.0,39,5.148475300479285e-05,2.0183310353928572e-13,3.920250011114873e-09,5.148475300479287e-05,4.238107239276185e-05,2.923225093632044e-05,0.6897477880081425,168.04529231451252,125.35545318844119,168.04529231451252,125.35545310297078,0.0,8.547041103333538e-08,0.2792334125045646,0.003832706462878729,0.014693403381116967,4.585609353678018e-10,1.4047133276473746e-11,1.824744202897896e-11,3.8336886801607073,1.2990153698861764,False,False,False,False,[]
