baseline_label,convergence_probability,finite_rows,manuscript_ready,max_localization_rmse_m,max_synchronization_rmse_ns,mean_localization_rmse_m,mean_normal_condition,mean_runtime_seconds,mean_synchronization_rmse_ns,non_final,position_prior_level,row_count,stage
gnss_aided_initialization,1.0,3,False,0.019684356218849706,0.0556043906293089,0.010125753084719961,,0.015333333333425495,0.028257967846661583,True,0.1_m,3,c7_jcls
gnss_aided_initialization,1.0,3,False,1.2955564462311502,4.861402270041451,0.7121847672311743,,0.020666666666935878,2.6725579736838285,True,100_m,3,c7_jcls
gnss_aided_initialization,1.0,3,False,0.7059796556925896,2.117314197268232,0.33581104833858855,,0.021000000000033953,1.0023600231034437,True,10_m,3,c7_jcls
gnss_aided_initialization,1.0,3,False,0.19521248983629907,0.5505757283486004,0.09945796307551565,,0.01566666666652357,0.2754935305256219,True,1_m,3,c7_jcls
gnss_aided_initialization,1.0,3,False,1.3171668161369803,4.961434049736391,0.7188191594118165,,0.015999999999924814,2.702266074748582,True,no_gnss_prior,3,c7_jcls
gnss_aided_initialization,1.0,3,False,0.0537981627871802,0.05594528774725547,0.041119543477392446,258.60854857291986,0.005333333333207217,0.028397463203224383,True,0.1_m,3,stage_a_dl_only
gnss_aided_initialization,1.0,3,False,2.1739997271386695,7.986409469518155,1.5749215993040402,171084.47088684028,0.005333333333207217,5.6650372611151765,True,100_m,3,stage_a_dl_only
gnss_aided_initialization,1.0,3,False,0.8607682594762849,2.565038136613256,0.4007937145798028,111344.80779308382,0.01566666666682674,1.1815311859655668,True,10_m,3,stage_a_dl_only
gnss_aided_initialization,1.0,3,False,0.1966562088662854,0.5536490405060904,0.10043791757263998,2814.576889037325,0.01599999999962165,0.27689834922535134,True,1_m,3,stage_a_dl_only
gnss_aided_initialization,1.0,3,False,2.176663372038394,7.9491266480815534,1.5469383171473907,172420.5708637233,0.005333333333207217,5.5827253367546,True,no_gnss_prior,3,stage_a_dl_only
gnss_aided_initialization,1.0,3,False,0.032100687695656674,0.05601960975088291,0.02973106310142801,312.7996797326901,0.01566666666682674,0.028379477580510525,True,0.1_m,3,step_b_jcls
gnss_aided_initialization,1.0,3,False,6.783544857241313,16.38159272150772,4.519796564076825,142204.9864730713,0.005333333333207217,9.227508891762728,True,100_m,3,step_b_jcls
gnss_aided_initialization,1.0,3,False,0.7160105597931233,2.133270478253285,0.34321649824437955,117324.46319022587,0.005333333333510382,1.0077233747447158,True,10_m,3,step_b_jcls
gnss_aided_initialization,1.0,3,False,0.1954571354381706,0.550862102298815,0.09981623581109766,3402.2212132188993,0.010000000000218279,0.27565905234238286,True,1_m,3,step_b_jcls
gnss_aided_initialization,1.0,3,False,6.783049824518687,16.54265275181306,4.523046645056467,142819.2179694703,0.010000000000218279,9.274875457461178,True,no_gnss_prior,3,step_b_jcls
