baseline_label,clock_prior_level,convergence_probability,finite_rows,manuscript_ready,max_localization_rmse_m,max_synchronization_rmse_ns,mean_localization_rmse_m,mean_normal_condition,mean_runtime_seconds,mean_synchronization_rmse_ns,non_final,row_count,stage
gnss_clock_aided_ntn,1000_ns,1.0,3,False,1.289255752210192,4.847912043292551,0.701465441431986,,0.010666666666717598,2.63131728358184,True,3,c7_jcls
gnss_clock_aided_ntn,100_ns,1.0,3,False,0.9274609423903922,3.351005553750787,0.5138432054800649,,0.021333333333132032,1.797013288976796,True,3,c7_jcls
gnss_clock_aided_ntn,10_ns,1.0,3,False,0.22565514311215532,0.5194286121749152,0.17043155747638608,,0.021000000000033953,0.4085389038346814,True,3,c7_jcls
gnss_clock_aided_ntn,1_ns,1.0,3,False,0.02969411325716891,0.06792028384943294,0.0251953943545497,,0.010333333333316356,0.06259990586905732,True,3,c7_jcls
gnss_clock_aided_ntn,perfect_clock_oracle,1.0,3,False,6.042271264755672,0.0,4.170215809583356,,0.020666666666329547,0.0,True,3,c7_jcls
gnss_clock_aided_ntn,unconstrained,1.0,3,False,1.3171668161369803,4.961434049736391,0.7188191594118165,,0.010333333333316356,2.702266074748582,True,3,c7_jcls
gnss_clock_aided_ntn,1000_ns,1.0,3,False,2.1541827994907354,7.7769083664032665,1.543499145609224,172018.4685735699,0.009999999999915113,5.643386338214306,True,3,dl_only
gnss_clock_aided_ntn,100_ns,1.0,3,False,2.244604926743229,9.32749952713274,1.7492362254470741,140516.90310062445,0.005333333333207217,5.74658314588244,True,3,dl_only
gnss_clock_aided_ntn,10_ns,1.0,3,False,2.027926170135235,3.9950171820763347,1.6413466570346866,12115.836785520432,0.004999999999805975,3.3163698964778554,True,3,dl_only
gnss_clock_aided_ntn,1_ns,1.0,3,False,0.258466772869465,0.5900421140467961,0.211617722970758,201.4296713374794,0.010333333333619521,0.5217582154002454,True,3,dl_only
gnss_clock_aided_ntn,perfect_clock_oracle,1.0,3,False,100.00000000000001,5.915729006473448e-10,100.0,77361096710.10873,0.010666666666717598,4.2909568352261433e-10,True,3,dl_only
gnss_clock_aided_ntn,unconstrained,1.0,3,False,2.176663372038394,7.9491266480815534,1.5469383171473907,172420.5708637233,0.005000000000109139,5.5827253367546,True,3,dl_only
gnss_clock_aided_ntn,1000_ns,1.0,3,False,6.7006576296260585,16.242577908013622,4.492232573287222,142614.33363578952,0.005333333333207217,9.075946011509291,True,3,step_b_jcls
gnss_clock_aided_ntn,100_ns,1.0,3,False,5.718635117541588,12.478115369218171,4.157131678399089,124911.30886081276,0.010000000000218279,7.104642740832708,True,3,step_b_jcls
gnss_clock_aided_ntn,10_ns,1.0,3,False,3.5605059307290223,3.7338921299608963,2.998767699990038,13876.778604310623,0.010666666667020763,2.7258106908802944,True,3,step_b_jcls
gnss_clock_aided_ntn,1_ns,1.0,3,False,2.9687354363891316,0.5711138791810146,2.598535352740839,243.7766669280701,0.005333333333207217,0.4801624834670481,True,3,step_b_jcls
gnss_clock_aided_ntn,perfect_clock_oracle,1.0,3,False,100.00000000000001,5.915729006473448e-10,100.0,77351411802.49385,0.010333333333316356,4.2909568352261433e-10,True,3,step_b_jcls
gnss_clock_aided_ntn,unconstrained,1.0,3,False,6.783049824518687,16.54265275181306,4.523046645056467,142819.2179694703,0.009999999999915113,9.274875457461178,True,3,step_b_jcls
