algorithm_accepted_steps,algorithm_converged,algorithm_final_damping,algorithm_final_innovation_norm,algorithm_iteration_count,algorithm_iteration_limit_reached,algorithm_jacobian_rank,algorithm_numerical_failure,algorithm_pi_shape,algorithm_posterior_covariance_trace,algorithm_process_noise_std_km,algorithm_reference_satellite_clock_in_state,algorithm_residual_norm,algorithm_stage,algorithm_state_dim,algorithm_status,algorithm_step_norm,algorithm_theta_dim,algorithm_truth_centered_initialization,algorithm_update_completed,algorithm_upstream_status,algorithm_upstream_success,algorithm_uses_innovation_z_minus_h_pred,baseline_id,baseline_label,case_index,clock_std_ns,cost,estimator_mode,figure_id,full_jcls_scenario_condition_number,full_jcls_scenario_crlb_status,full_jcls_scenario_fim_nullity,full_jcls_scenario_fim_rank,full_jcls_scenario_is_full_rank,full_jcls_scenario_measurement_count,full_jcls_scenario_parameter_dim,nfev,num_satellites,num_users,parameter_dim,position_error_mean_m,position_error_median_m,position_error_rmse_m,range_std_dev_km,rank_metadata_note,rank_metadata_scope,series_value,success,sync_error_mean_s,trial,trial_seed,x_value
15,False,0.6969171937625634,,25,True,19,False,,,1e-05,False,3.4674367007459144,step2_joint_lm_jcls,,updated_not_converged,0.0741156352210417,,False,,,,,coarse_jcls,Coarse JCLS,1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336759482.99978,finite_crlb,0,19,True,30,19,25,8,3,19,2077.048436048008,2077.006201943718,2077.0484403985383,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,9.883263913679596e-07,0,20269734,10.0
,False,,7.978669524755495,5,,19,False,"[19, 19]",0.04661850659771152,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336707869.670784,finite_crlb,0,19,True,150,19,5,8,3,19,2662.1025640323483,2662.1238397898646,2662.102564247843,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,1.173147893213963e-06,0,20269734,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336759482.99978,finite_crlb,0,19,True,30,19,,8,3,19,11.983021947531975,11.125131226175473,12.05451472832993,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,1.020562431981854e-08,1,20277653,10.0
15,False,0.6969171937625634,,25,True,19,False,,,1e-05,False,2.923526131882096,step2_joint_lm_jcls,,updated_not_converged,0.07370427941467267,,False,,,,,coarse_jcls,Coarse JCLS,1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336759482.99978,finite_crlb,0,19,True,30,19,25,8,3,19,2487.6842788513704,2487.7203523241396,2487.684304472539,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,1.584393960255282e-06,1,20277653,10.0
,False,,11.299019452462776,5,,19,False,"[19, 19]",0.032977440991450224,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated_upstream_not_converged,,19,False,True,updated_not_converged,False,True,refined_jcls,"Refined JCLS, 0.5 s",1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336707869.670784,finite_crlb,0,19,True,150,19,5,8,3,19,3049.5003408173575,3049.2771757098867,3049.5003665559784,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,False,1.7038088490488667e-06,1,20277653,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336759482.99978,finite_crlb,0,19,True,30,19,,8,3,19,11.984659294488859,11.731281123755306,12.02759249473213,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,1.020562431981854e-08,2,20285572,10.0
7,True,0.0004572473708276176,,10,False,19,False,,,1e-05,False,4.1349290541154895,step2_joint_lm_jcls,,converged,1.2994608405206968e-09,,False,,,,,coarse_jcls,Coarse JCLS,1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336759482.99978,finite_crlb,0,19,True,30,19,10,8,3,19,1342.6083907615082,1342.622913795869,1342.6083990208206,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,4.598913924432285e-07,2,20285572,10.0
,True,,6.364311783988072,5,,19,False,"[19, 19]",0.10057606946944411,1e-05,False,,step3_dynamic_sci_sfi_information_update,19,updated,,19,False,True,converged,True,True,refined_jcls,"Refined JCLS, 0.5 s",1,10.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,25336707869.670784,finite_crlb,0,19,True,150,19,5,8,3,19,1701.2321544704603,1701.3049845281146,1701.2321581962874,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,7.878486366663627e-07,2,20285572,10.0
,,,,,,,,,,1e-05,False,,step1_coarse_individual_dl_gn,,,,,False,,,,,without_cooperation,Without cooperation,2,100.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,26907392339.921944,finite_crlb,0,19,True,30,19,,8,3,19,69.35073808147335,69.40485385993018,69.35341771110767,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,8.528734535928685e-08,0,20270743,100.0
4,True,123456790123.45679,,20,False,19,False,,,1e-05,False,3.0552941291544125,step2_joint_lm_jcls,,converged,4.3734495880024626e-13,,False,,,,,coarse_jcls,Coarse JCLS,2,100.0,,v24_three_stage_dynamic,fig6_localization_vs_clock_std_candidate,26907392339.921944,finite_crlb,0,19,True,30,19,20,8,3,19,3215.7170593237693,3215.716291142995,3215.7170652020527,,Rank diagnostics use the full gauged V24 theta and scenario links for the selected epoch count; they are not baseline-specific observability claims.,full_jcls_scenario_not_baseline_observability,clock_sweep,True,1.9502632253693963e-06,0,20270743,100.0
