both_improved_count,lane,max_position_ratio,max_sync_ratio,mean_p_clock_trace,mean_p_position_trace,mean_position_ratio,mean_runtime_seconds,mean_sync_ratio,position_improved_count,sync_improved_count,tested_cases,variant
3,block_scaled_drift_tuning,0.06165560267124894,0.4793732693993227,8.750000000000001e-05,0.45333333333333353,0.05200946435616497,0.026333333342336118,0.3404030354055451,3,3,3,block_drift_base
3,block_scaled_drift_tuning,0.036869903506100456,0.3513269372005725,0.000504,0.45333333333333353,0.03165361240574122,0.025999999973767746,0.24279554267869285,3,3,3,block_drift_loose_clock
3,block_scaled_drift_tuning,0.06166210776786773,0.4791944957556855,8.750000000000001e-05,2.8333333333333335,0.05200290423138484,0.025999999993170302,0.340400845709036,3,3,3,block_drift_loose_position
3,block_scaled_drift_tuning,0.07399351045813918,0.6044436520038122,1.4000000000000001e-05,0.45333333333333353,0.06263649646477584,0.03666666668141261,0.3936580096403807,3,3,3,block_drift_strong_clock
3,block_scaled_drift_tuning,0.06161501691194949,0.4805008932324117,8.750000000000001e-05,0.07253333333333334,0.052050578078454174,0.036333333351649344,0.3404203225431304,3,3,3,block_drift_tight_position
3,gauge_common_clock,0.06165560267124894,0.5709543228272252,8.750000000000001e-05,0.45333333333333353,0.05200946435616497,0.035999999983080976,0.336826031971595,3,3,3,damp_common_clock_025
3,gauge_common_clock,0.07674722388945975,0.659972911571981,8.750000000000001e-05,0.45333333333333353,0.06398701058131297,0.026000000012572855,0.43986509579631633,3,3,3,no_drift_project_common_clock
3,gauge_common_clock,0.06165560267124894,0.6060433573486529,8.750000000000001e-05,0.45333333333333353,0.05200946435616497,0.025999999993170302,0.366348752647813,3,3,3,project_common_clock
2,lm_curvature,0.30109754313910675,1.8794262506653694,0.00017657814371486484,7.329794121193176e-05,0.1673312695486249,0.03633333333224679,1.2670234885718268,3,2,3,block_diag_lm_covariance
2,lm_curvature,0.30109754313910675,1.8794262506653694,0.00017657814371486484,7.329794121193176e-05,0.1673312695486249,0.041666666666666664,1.2670234885718268,3,2,3,full_lm_covariance
3,lm_curvature,0.0989834983435748,0.672242203206732,0.00017657814371486484,0.0011333333333333334,0.07293262175927238,0.026333333342336118,0.4629552107464643,3,3,3,lm_covariance_floors_ceilings
0,position_freeze_damping,1.0,0.4793732693993227,8.750000000000001e-05,0.45333333333333353,1.0,0.031333333327590175,0.3404030354055451,0,3,3,freeze_positions_clock_drift
3,position_freeze_damping,0.7550564154992023,0.3513269372005725,0.000504,0.45333333333333353,0.7510071995985713,0.031333333327590175,0.24279554267869285,3,3,3,position_damped_clock_loose
3,position_freeze_damping,0.33958272581309984,0.4793732693993227,8.750000000000001e-05,0.45333333333333353,0.24407973900527943,0.03133333334699273,0.3404030354055451,3,3,3,position_update_clipped
3,position_freeze_damping,0.7579896381451617,0.4793732693993227,8.750000000000001e-05,0.45333333333333353,0.7519002579050232,0.030666666648661096,0.3404030354055451,3,3,3,position_update_damped_025
3,residual_scaled_lm,0.028598081876483224,0.220764544442016,0.004793982527286008,0.004567755635979179,0.021074811911639246,0.02066666667815298,0.18382523041636625,3,3,3,block_diag_residual_scaled_covariance
3,residual_scaled_lm,0.028598081876483224,0.220764544442016,0.004793982527286008,0.004567755635979179,0.021074811911639246,0.03166666665735344,0.18382523041636625,3,3,3,full_residual_scaled_covariance
3,residual_scaled_lm,0.028598081876483224,0.220764544442016,0.004793982527286008,0.004567755635979179,0.021074811911639246,0.03066666666806365,0.18382523041636625,3,3,3,residual_scaled_floors_ceilings
3,schur_reduced,0.8547792642171879,0.4793732693993227,8.750000000000001e-05,0.45333333333333353,0.8511234836810138,0.03633333333224679,0.3404030354055451,3,3,3,clock_first_position_small
0,schur_reduced,1.0,0.4793732693993227,8.750000000000001e-05,0.45333333333333353,1.0,0.0413333333369034,0.3404030354055451,0,3,3,clock_only_reduced
3,schur_reduced,0.07674722388939273,0.7059062156488201,8.750000000000001e-05,0.45333333333333353,0.06398701058151682,0.03633333331284424,0.4712623356063815,3,3,3,schur_position_clock_backsolve
0,schur_reduced,0.07674722388939273,1.0,8.750000000000001e-05,0.45333333333333353,0.06398701058151682,0.03666666668141261,1.0,3,0,3,schur_position_only
