case_id,clock_std_seconds,cooperation_mode,failure_count,failure_reason,fallback_count,initialization_failure_reason,initialization_localization_error_m,initialization_stage_success,initialization_status,initialization_synchronization_error_ns,lm_acceptance_mode,map_covariance_mode,map_update_mode,metric_version,num_satellites,num_users,pipeline,prior_mode,prior_radius_m,row_type,seed,sparse_row_type,stage_a_version,stage_b_residual_cost_after,stage_b_residual_cost_before,stage_b_version,stage_c_version,step_a_failure_reason,step_a_localization_error_m,step_a_stage_success,step_a_status,step_a_synchronization_error_ns,step_b_failure_reason,step_b_localization_error_m,step_b_stage_success,step_b_status,step_b_synchronization_error_ns,step_c_failure_reason,step_c_localization_error_m,step_c_stage_success,step_c_status,step_c_synchronization_error_ns,system_model_version,truth_use_blocker,truth_used_for_covariance,truth_used_for_fallback_or_reversion,truth_used_for_initialization,truth_used_for_lm_acceptance,truth_used_for_offline_metrics,truth_used_for_prior_construction,truth_used_for_step_c_acceptance,units_version
sparse_network_nu5_ns4_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,4,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,19.07322146820097,1618233105828.6055,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,2323.909495291837,True,passed,1413.5766880704996,,0.21369028275377722,True,passed,835.0981169886911,,0.35930602416376356,True,passed,835.0981117126782,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns8_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,8,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,32.876592583912085,39666245579393.914,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,642.7945775863212,True,passed,1307.6929673537275,,0.09177634785132273,True,passed,542.7158958741919,,0.06265544167425001,True,passed,542.7158922176211,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns10_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,38.315863480802086,43550441465535.914,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,666.9507097841092,True,passed,1360.2310262342178,,0.046828912447477784,True,passed,697.429112712631,,0.05319291244785521,True,passed,697.4291054035202,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns12_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,12,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,44.014299024791455,54544247328117.09,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,475.89217503542613,True,passed,1363.3570007185422,,0.011249099634864751,True,passed,781.1141850016567,,0.03401535723001461,True,passed,781.1141878983768,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu5_ns14_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,65628.66421937037,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,14,5,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,42.7942003125116,64407590495823.07,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,460.1586735589137,True,passed,1365.7031394931032,,0.031856948491772674,True,passed,752.0934395494497,,0.055692033147699195,True,passed,752.0934369805901,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu7_ns4_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,60226.64580338359,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,4,7,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,39.562492424506836,3094046071102.1597,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,2215.3362978175237,True,passed,1331.7778627305906,,0.21692905759707307,True,passed,680.004799001213,,0.08011891569886362,True,passed,680.0048035133119,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu7_ns8_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,60226.64580338359,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,8,7,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,53.14702569366751,64299831598502.516,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,645.1277377948362,True,passed,1261.8249915333638,,0.006192012034575741,True,passed,471.49157541381294,,0.005734651307512042,True,passed,471.491584089069,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu7_ns10_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,60226.64580338359,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,7,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,67.96861168813311,70033486003553.42,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,716.6018271682681,True,passed,1313.5783347597214,,0.010365495902163544,True,passed,613.5688977524416,,0.004255812782502714,True,passed,613.568903599736,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu7_ns12_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,60226.64580338359,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,12,7,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,73.70139900331363,84839815297542.36,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,489.8265621348784,True,passed,1321.286068927222,,0.0036343159527319944,True,passed,698.1039779245904,,0.004768040293094961,True,passed,698.103976482839,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_network_nu7_ns14_clock1us_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,60226.64580338359,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,14,7,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,network_size,A0_prior_region_il,79.2220292174571,99124182083563.94,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,450.8497062639521,True,passed,1327.4155213224262,,0.0022946024707900825,True,passed,679.2734066667872,,0.005323001847943599,True,passed,679.2734036394926,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_clock_nu3_ns10_clock1e-10s_seed0,1e-10,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,clock_sweep,A0_prior_region_il,7.776268595935166,272253.20364793093,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,0.05688033246884646,True,passed,0.12534626310893723,,0.07445028426778139,True,passed,0.08727557625523931,,0.03385812890978329,True,passed,0.053741640694689154,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_clock_nu3_ns10_clock1e-09s_seed0,1e-09,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,clock_sweep,A0_prior_region_il,7.776332644168218,27113433.433480166,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,0.5664808244080975,True,passed,1.2534626310893726,,0.0744502750263235,True,passed,0.4918602380726322,,0.03672955591191539,True,passed,0.49186444652285144,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_clock_nu3_ns10_clock1e-08s_seed0,1e-08,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,clock_sweep,A0_prior_region_il,7.776267356594345,2710252071.92195,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,5.662522688208515,True,passed,12.53462631089372,,0.07445028175951036,True,passed,4.92319451378076,,0.035771137788779314,True,passed,4.923200509519991,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_clock_nu3_ns10_clock1e-07s_seed0,1e-07,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,clock_sweep,A0_prior_region_il,7.776341068577244,271014071964.7846,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,56.62314114163116,True,passed,125.34626310893722,,0.07445028413330389,True,passed,49.34748717684495,,0.03803400070267204,True,passed,49.34748730733466,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_clock_nu3_ns10_clock1e-06s_seed0,1e-06,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,clock_sweep,A0_prior_region_il,7.776311448438621,27101043023189.965,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,566.249140452735,True,passed,1253.462631089372,,0.0744502771727543,True,passed,491.1531460309657,,0.03623739136921989,True,passed,491.15314406554756,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_clock_nu3_ns10_clock1e-05s_seed0,1e-05,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,clock_sweep,A0_prior_region_il,7.904449348289571,2709823795301315.5,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,5664.674053018476,True,passed,12534.626310893722,,0.07445027073551652,True,passed,4935.126455879728,,0.03675785264226521,True,passed,4935.126463226287,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
sparse_clock_nu3_ns10_clock0.0001s_seed0,0.0001,cooperative,0,,0,initialization_sync_metric_not_reported_by_legacy_initializer,69095.17702453087,True,passed,,residual_trust_region,residual_scaled_information_pseudoinverse,observable_residual_covariance_checks,legacy_all_clock_metric_pending_v24_reference_relative_recompute,10,3,legacy_surgical_nontruth,prior_ball_R0,100000.0,sparse_manuscript,0,clock_sweep,A0_prior_region_il,8.50222805246346,2.7078160160504867e+17,B1_residual_trust_region_lm_no_truth_gate,C_surgical_residual_scaled_info_map,,57047.08520897905,True,passed,125346.26310893723,,0.0744502770832398,True,passed,50337.312737141685,,0.08120466644471248,True,passed,50337.31273128743,legacy_compatible_all_clock,False,False,False,False,False,True,True,False,legacy_km_range_equivalent_clock_units_with_m_ns_reporting
