mode,num_users,mean_position_error_m,mean_sync_error_ns,row_count,fallback_count,failure_count
medium,1,0.29797222998762907,0.4056915164381797,3,3,0
medium,3,0.09519107249537372,0.15327176444830293,3,15,0
medium,5,0.07979785763661261,0.09121099333648862,3,15,0
medium,7,0.02253022204326022,0.09887217606559882,3,15,0
