clock_std_dev_seconds,num_users,num_satellites,map_iteration_count,state_dimension,measurement_count,il_status,lm_status,map_fallback_count,map_failure_count,il_position_error_m,lm_position_error_m,map_position_error_m,il_sync_error_s,lm_sync_error_s,map_sync_error_s,success,fallbacks,failures
0.0001,3,5,2,17,21,passed,passed,2,0,69981.06468336924,47328.268593985,39.559030639265195,0.00010781834056946564,2.950270548927482e-05,1.5811229443339868e-05,True,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
1e-07,3,5,2,17,21,passed,passed,2,0,48.90936711399557,0.16247295621928937,0.16247295621928937,9.719194671443158e-08,4.6936012220210006e-08,4.6936012220210006e-08,True,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
1e-10,3,5,2,17,21,passed,passed,2,0,0.06556579577923911,0.04709983576724992,0.04709983576724992,7.217234482232337e-11,7.032634021074216e-11,7.032634021074216e-11,True,"[""MAP_optimizer_method_missing_global_fallback"", ""MAP_optimizer_method_missing_global_fallback""]",[]
