lane,method,case_name,num_users,num_satellites,seed,runtime_seconds,cache_used,cache_key,step_b_position_error_m,step3_position_error_m,step_b_sync_error_s,step3_sync_error_s,position_ratio,sync_ratio,position_improved,sync_improved,both_improved,catastrophic,accepted,fallback_to_step_b,failure_flag,chosen_alpha,nis,nullspace_ratio,clock_position_update_ratio,update_norm,position_update_norm,clock_update_norm,current_total_objective,final_total_objective,current_residual_cost,final_residual_cost,current_prior_cost,final_prior_cost,truth_state_used_for_acceptance,truth_state_used_for_covariance,truth_state_used_for_diagnostics
robust_measurement,huber_line_search,Nu3_Ns8,3,8,240531,0.0,True,5902ae4926123697,0.12311443474554039,0.15004575329355097,1.540065000506638e-10,1.7616902785845027e-10,1.2187502919838253,1.143906444211742,False,False,False,False,True,False,False,1.0,5.167433298554725,7.17968647911912e-10,0.7468204909526859,0.000125748274330713,0.00010075217492747793,7.524378874388996e-05,45.29860392085332,8.345876691504543,45.29860392085332,8.345876125240258,0.0,5.66264284460727e-07,False,False,True
robust_measurement,huber_line_search,Nu7_Ns8,7,8,241540,0.0,True,875080a8b2546024,0.003683121387316592,0.0073193259310887285,5.437602220622302e-12,9.005858489982533e-12,1.9872616624295845,1.6562187016599872,False,False,False,False,True,False,False,1.0,28.206943532397883,1.8327385366064664e-08,0.6120179502224729,1.9885729111504584e-05,1.6961283954016637e-05,1.0380610238678581e-05,99.27186965083071,84.69014421798468,99.27186965083071,84.6901442072061,0.0,1.0778583744132385e-08,False,False,True
robust_measurement,huber_line_search,Nu7_Ns12,7,12,242549,0.0,True,2dc48602e59b1792,0.003832706462878729,0.006824289136689353,1.4047133276473746e-11,1.4047133452522929e-11,1.7805405143298294,1.0000000125327482,False,False,False,False,True,False,False,1.0,30.30585230737494,8.362138430113843e-09,0.644542259172854,2.753054323292261e-05,2.314034652330035e-05,1.4914931226170706e-05,140.11076876258488,98.64623316060846,140.11076876258488,98.64623313835759,0.0,2.2250872104521395e-08,False,False,True
