family,candidate,estimator_mode,num_users,num_satellites,grid,clock_std_seconds,clock_std_km,runtime_seconds,cache_status,step_b_position_error_m,step_b_sync_error_km,step_b_sync_error_ns,c7_position_error_m,c7_sync_error_km,c7_sync_error_ns,position_ratio,sync_ratio,both_improved,position_improved,sync_improved,fallback_triggered,fallback_reason,fallback_behavior,affected_state_blocks,objective_decreased,truth_state_used_for_acceptance,truth_state_used_for_covariance,truth_state_used_for_safeguard,position_update_norm,ue_clock_update_norm,satellite_clock_update_norm,drift_update_norm,raw_position_update_norm,raw_ue_clock_update_norm,raw_satellite_clock_update_norm,raw_drift_update_norm,residual_scale_factor,residual_scale_enabled,p_position_eig_min,p_position_eig_max,p_delta_eig_min,p_delta_eig_max,p_drift_eig_min,p_drift_eig_max,clock_drift_prior_scale,safeguard_clock_update_to_cov_scale,safeguard_common_clock_component,safeguard_common_clock_ratio,objective_before,objective_after,objective_after_full_update
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,1,4,network_medium,,,0.015000000013969839,not_used_deterministic_medium,2.45137931002319,0.00017386344389243484,0.579946023500147,0.3541926885886298,0.00017386344389243484,0.579946023500147,0.14448710044194635,1.0,False,True,False,True,single_user_clock_update_not_observable,clock_and_drift_reverted_to_step_b,ue_clock;satellite_clock;clock_drift,True,False,False,False,0.002170736735424503,0.0,0.0,0.0,0.002170736735424503,0.00042911057788803334,0.0007727417389346472,0.00035047078570349583,302.41007477016615,True,4e-06,7.463676294796665e-06,3.6958862725601592e-06,8.403672886787657e-06,3.780125934607159e-05,7.560251869220044e-05,2.5e-09,0.1690131276257477,0.00030361486527050814,0.6869951208432545,604.8201495403323,43.241415836015214,0.765618391254391
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,1,8,network_medium,,,0.0,not_used_deterministic_medium,2.45137931002319,0.000250859964826564,0.8367787718881308,0.3168565136297974,0.000250859964826564,0.8367787718881308,0.12925641998128798,1.0,False,True,False,True,single_user_clock_update_not_observable,clock_and_drift_reverted_to_step_b,ue_clock;satellite_clock;clock_drift,True,False,False,False,0.00215217251829743,0.0,0.0,0.0,0.00215217251829743,0.0004682628029021791,0.0008030004125187526,0.0004858454559504502,185.5853915714964,True,4e-06,4.465643546534896e-06,1.8292930871033543e-06,1.4700479982406976e-05,2.3198173946189247e-05,4.639634789253834e-05,2.5e-09,0.11387861856287236,0.00017403583028742045,0.5295497386983078,1113.5123494289783,99.42354439938781,1.2515859874727637
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,1,12,network_medium,,,0.01600000000325963,not_used_deterministic_medium,2.45137931002319,0.00023403845659085177,0.7806682601429946,0.34078497891586534,0.00023403845659085177,0.7806682601429946,0.1390176450957488,1.0,False,True,False,True,single_user_clock_update_not_observable,clock_and_drift_reverted_to_step_b,ue_clock;satellite_clock;clock_drift,True,False,False,False,0.0021909690040947953,0.0,0.0,0.0,0.0021909690040947953,0.00039279575587064714,0.0006348838688291653,0.000537245544703822,137.49120959604804,True,4e-06,4e-06,1.2046398711892674e-06,1.2794730593345514e-05,1.7186401199229503e-05,3.437280239866991e-05,2.5e-09,0.08000679977636502,0.00015688681899247707,0.7279588518490536,1374.9120959604804,64.87363110349769,1.404436062584527
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,3,4,network_medium,,,0.01600000000325963,not_used_deterministic_medium,2.3854571589654223,0.00024434270843900395,0.8150395445872223,0.03938770262905154,3.1287888468946086e-05,0.10436516207804697,0.016511595054649424,0.12804920052180147,True,True,True,False,none,none,,True,False,False,False,0.0040981210814231535,0.0003171892110224061,0.0003503932505332095,0.0005094769429229763,0.0040981210814231535,0.0003171892110224061,0.0003503932505332095,0.0005094769429229763,95.2094575561452,True,0.0016256531693240525,0.0023903213380343535,0.0004,0.0004,4.760472877794724e-06,7.934121462993501e-06,2.5e-09,0.009647634114301569,1.3308970244789998e-05,0.06897530569210174,3427.5404720212273,0.05081574219878924,0.05081574219878924
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,3,8,network_medium,,,0.015000000013969839,not_used_deterministic_medium,2.3854571589654223,0.00021827347778923613,0.7280819512452049,0.0682194991449362,4.818704488791521e-05,0.16073468028310176,0.028598081876483224,0.220764544442016,True,True,True,False,none,none,,True,False,False,False,0.0040652831636640374,0.0003262509341297699,0.0003652275226487914,0.0005391732447927057,0.0040652831636640374,0.0003262509341297699,0.0003652275226487914,0.0005391732447927057,73.50588722340484,True,0.0007400247526174483,0.0009451221726527734,0.0004,0.0004,3.500280343955634e-06,6.125490601929659e-06,2.5e-09,0.0077432360050679215,2.7262417516563543e-05,0.17604020785831911,4704.37678229791,0.07979973159538643,0.07979973159538643
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,3,12,network_medium,,,0.01600000000325963,not_used_deterministic_medium,2.3854571589654223,0.00023825529852167685,0.7947341307754875,0.0912835573134997,5.2734385886448657e-05,0.17590297714043449,0.038266693229187805,0.2213356270087349,True,True,True,False,none,none,,True,False,False,False,0.0040397782999052915,0.0002977542071178418,0.00047184027994142536,0.0005906258494477657,0.0040397782999052915,0.0002977542071178418,0.00047184027994142536,0.0005906258494477657,63.48001654804971,True,0.0004855586587929815,0.0005388419479801404,0.00013174253502328296,0.0004,2.9388896549830147e-06,5.290001378980765e-06,2.5e-09,0.0078359779839902,3.498428423417033e-05,0.23461396304847412,5840.161522420573,0.11237739093172289,0.11237739093172289
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,5,4,network_medium,,,0.014999999955762178,not_used_deterministic_medium,2.1566993497952156,0.000250859964826564,0.8367787718881308,0.05505919199580302,3.18467159562577e-05,0.10622920992981652,0.025529377565320376,0.12695017309069395,True,True,True,False,none,none,,True,False,False,False,0.004875149620964381,0.0003932637004153142,0.0003660735908436947,0.0005218071883057113,0.004875149620964381,0.0003932637004153142,0.0003660735908436947,0.0005218071883057113,58.28026030107459,True,0.0007329072556677008,0.001035415243046301,0.0004,0.0004,2.1471674847726577e-06,2.9140130150487326e-06,2.5e-09,0.009497799284201688,6.429727883713705e-05,0.33848514225862264,3729.936659268774,0.16101744089154263,0.16101744089154263
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,5,8,network_medium,,,0.03200000000651926,not_used_deterministic_medium,2.1566993497952156,0.00023403845659085177,0.7806682601429946,0.07403530793890123,3.309883532802735e-05,0.11040583058306074,0.034328061510256906,0.14142477185230737,True,True,True,False,none,none,,True,False,False,False,0.004859549359573889,0.0003899432760330463,0.0004227636033492913,0.0005693165047118414,0.004859549359573889,0.0003899432760330463,0.0004227636033492913,0.0005693165047118414,50.115237622571826,True,0.000384392905500324,0.00044545957141264224,0.0002130651574273839,0.0004,1.6501358729336008e-06,2.505761881122739e-06,2.5e-09,0.008620224427727028,1.956167989333056e-05,0.11782134696873371,5813.367564218332,0.24164201369021815,0.24164201369021815
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,5,12,network_medium,,,0.031000000017229468,not_used_deterministic_medium,2.1566993497952156,0.00021910843538232175,0.7308670699858693,0.07447464612011685,4.050124367963149e-05,0.13509760702396154,0.03453177009915101,0.18484566150527693,True,True,True,False,none,none,,True,False,False,False,0.0048596062481341025,0.0003908626853868224,0.0005119231720221526,0.0005881560522880589,0.0048596062481341025,0.0003908626853868224,0.0005119231720221526,0.0005881560522880589,49.01212892416082,True,0.00028261946299877925,0.0002882063435198715,7.610857599025596e-05,0.0004,1.5186856849678587e-06,2.4506064462007936e-06,2.5e-09,0.009135324622766075,1.465460896881167e-06,0.009101111829200101,8234.037659259018,0.2885473026256993,0.2885473026256993
network_size,step_c7_residual_cov_sync_safeguard,step_c7_residual_cov_sync_safeguard,7,4,network_medium,,,0.0470000000204891,not_used_deterministic_medium,2.2052785017877277,0.00021827347778923613,0.7280819512452049,0.05463023164172327,5.9644717779488495e-05,0.19895336319464213,0.02477248637640861,0.2732568261778518,True,True,True,False,none,none,,True,False,False,False,0.006005648388373285,0.0005133000167721754,0.00019760890830534315,0.000538183405561252,0.006005648388373285,0.0005133000167721754,0.00019760890830534315,0.000538183405561252,61.688884273384424,True,0.0006269885321284322,0.0008464136961142569,0.0004,0.0004,1.939414118250124e-06,2.20317443833195e-06,2.5e-09,0.008696639981336832,4.247832975439445e-06,0.024422265291856295,5675.377353151367,0.2116902135067663,0.2116902135067663
