num_users,mean_position_error_m,mean_sync_error_ns,row_count,fallback_count,failure_count
1,0.29797222998762907,0.4056915164381797,3,3,0
3,0.23515091278170974,0.2653193748839907,3,0,0
5,0.1771939588807677,0.0891207175499051,3,0,0
7,0.06329038948880565,0.10632940238498255,3,0,0
