num_users\num_satellites,3,4,5,6,7,8,9,10,11,12,13,14,15
1,7.083461909962156e-05,3.171645966036866e-05,3.103675977887929e-05,2.682889365233038e-05,9.177402156584117e-06,7.233520507045556e-06,6.1219215782223435e-06,4.593571409094591e-06,3.875223561128795e-06,3.7642908181862723e-06,3.2078276096960672e-06,2.8339701181230643e-06,2.6137735040756255e-06
3,3.5902313199659624e-05,1.304660374630561e-05,1.263848058616068e-05,1.1059009628056102e-05,5.008488918432513e-06,4.089022174649664e-06,3.385027295820752e-06,2.786013466887253e-06,2.454277895846734e-06,2.3846230545911625e-06,2.0610791453180966e-06,1.8213427800293245e-06,1.719290885990022e-06
5,2.3268653987263434e-05,9.482582252839418e-06,9.17514439867479e-06,8.042917354669904e-06,4.299038808405117e-06,3.58338014232165e-06,2.968997364615791e-06,2.521879019392392e-06,2.2532295996726308e-06,2.215199925215098e-06,1.8919622750274884e-06,1.649051048473698e-06,1.5694248958030484e-06
7,1.3636690220660653e-05,6.336422638710695e-06,6.141325797384107e-06,5.450859099415377e-06,2.6647795369814814e-06,2.1155244519378126e-06,1.854653987598111e-06,1.497337774767641e-06,1.3349132665743914e-06,1.2975782846265266e-06,1.143232539543704e-06,1.0492147718244696e-06,9.86119262666499e-07
