num_users\num_satellites,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1.6029327880916715e-06,1.8237813055620793e-06,1.9789293680144098e-06,2.093626498731979e-06,2.1817696282358863e-06,2.251581858718617e-06,2.3082232148520066e-06,2.3550894958188003e-06,2.394504535297435e-06,2.428111205629988e-06,2.4571033214285036e-06,2.4823689992372747e-06,2.5045824813932367e-06
3,4.3837335941746096e-07,5.001441080304172e-07,5.487142207000546e-07,5.878419682279568e-07,6.200105056360565e-07,6.46913645882727e-07,6.697416592040038e-07,6.893534672846573e-07,7.063835496493338e-07,7.21310331168071e-07,7.345011670917368e-07,7.462426959962607e-07,7.567617958191301e-07
5,2.2203784744606853e-07,2.5554174788582013e-07,2.831687471896079e-07,3.06323311080871e-07,3.2600189297565026e-07,3.4292855308680474e-07,3.5764093001713193e-07,3.7054604303483517e-07,3.8195739401603003e-07,3.9212020706574554e-07,4.0122896653964263e-07,4.094398427266694e-07,4.168796530250363e-07
7,1.396526029827442e-07,1.6114678308386528e-07,1.7943278131200063e-07,1.9517363793618653e-07,2.0886332817737233e-07,2.2087678788995115e-07,2.3150340396315173e-07,2.409699161339941e-07,2.494563957280863e-07,2.571076038685959e-07,2.6404120493707096e-07,2.703538001648125e-07,2.7612542430381213e-07
